;Scopy version,48fb6a9
;Exported on,Wednesday July 24/07/2019
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V),M1(V)
528,-0.003472,-0.162985,-0.16481,0.000976563
529,-0.003471,-0.166238,-0.17136,0.00488281
530,-0.00347,-0.172743,-0.177911,0.00488281
531,-0.003469,-0.179248,-0.182823,0.00390625
532,-0.003468,-0.185753,-0.189374,0.00390625
533,-0.003467,-0.192258,-0.194287,0.00292969
534,-0.003466,-0.195511,-0.200837,0.00488281
535,-0.003465,-0.203642,-0.20575,0.00292969
536,-0.003464,-0.206895,-0.210662,0.00390625
537,-0.003463,-0.2134,-0.217213,0.00390625
538,-0.003462,-0.219905,-0.222125,0.00292969
539,-0.003461,-0.224784,-0.228676,0.00390625
540,-0.00346,-0.232916,-0.235226,0.00292969
541,-0.003459,-0.236168,-0.240139,0.00390625
