;Scopy version,6fa2c03
;Exported on,Wednesday September 25/09/2019
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+07
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
643,-9.57e-05,1.5371,1.61728
644,-9.56e-05,1.5371,1.61728
645,-9.55e-05,1.53866,1.61728
646,-9.54e-05,1.53866,1.61572
647,-9.53e-05,1.53866,1.61572
648,-9.52e-05,1.53866,1.61728
649,-9.51e-05,1.5371,1.61728
650,-9.5e-05,1.54176,1.62042
651,-9.49e-05,1.53866,1.61728
652,-9.48e-05,1.53866,1.61728
653,-9.47e-05,1.53866,1.61885
654,-9.46e-05,1.54021,1.61572
655,-9.45e-05,1.5371,1.61728
656,-9.44e-05,1.53866,1.61572
657,-9.43e-05,1.5371,1.61572
658,-9.42e-05,1.54021,1.61728
659,-9.41e-05,1.5371,1.61728
660,-9.4e-05,1.53866,1.61728
661,-9.39e-05,1.53555,1.61572
662,-9.38e-05,1.5371,1.61572
663,-9.37e-05,1.5371,1.61572
664,-9.36e-05,1.53555,1.61572
665,-9.35e-05,1.5371,1.61728
666,-9.34e-05,1.54021,1.61415
667,-9.33e-05,1.54021,1.61415
668,-9.32e-05,1.5371,1.61728
669,-9.31e-05,1.53866,1.61572
670,-9.3e-05,1.53866,1.61885
671,-9.29e-05,1.54021,1.61572
672,-9.28e-05,1.5371,1.61572
673,-9.27e-05,1.54021,1.61572
